EmployeeID,AttritionProbability,RiskLevel,TopRiskFactors,RecommendedRetentionAction
74,0.3056,Medium,Burnout Risk Index; Department Research & Development; Career Growth Risk Indicator,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
75,0.3222,Medium,Burnout Risk Index; Overtime Risk Score; Travel Burden Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
76,0.0671,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
77,0.0446,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
78,0.1155,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
79,0.5713,Medium,Travel Burden Score; Monthly Income; Stock Option Level,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
80,0.0871,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
81,0.3966,Medium,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
83,0.0692,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
84,0.1054,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
85,0.1051,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
86,0.0592,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
88,0.392,Medium,Burnout Risk Index; Monthly Income; Career Growth Risk Indicator,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
90,0.4461,Medium,Burnout Risk Index; Manager Stability Score; Training Times Last Year,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
91,0.2411,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
94,0.0261,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
95,0.3525,Medium,Manager Stability Score; Stock Option Level; Total Working Years,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
96,0.028,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
97,0.1125,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
98,0.0371,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
100,0.1653,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
101,0.0983,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
102,0.1072,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
103,0.1967,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
104,0.2958,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
105,0.0642,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
106,0.2778,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
107,0.0363,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
110,0.1974,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
112,0.0741,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
113,0.6592,Medium,Manager Stability Score; Monthly Income; Age,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
116,0.0903,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
117,0.0786,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
118,0.4277,Medium,Career Growth Risk Indicator; Stock Option Level; Department Research & Development,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
119,0.1331,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
120,0.5587,Medium,Burnout Risk Index; Manager Stability Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
121,0.2083,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
124,0.2358,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
125,0.2266,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
126,0.1214,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
128,0.2492,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
129,0.1693,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
131,0.0977,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
132,0.086,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
133,0.8679,High,Burnout Risk Index; Monthly Income; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
134,0.3397,Medium,Manager Stability Score; Total Working Years; Stock Option Level,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
137,0.9434,High,Burnout Risk Index; Manager Stability Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
138,0.0517,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
139,0.0556,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
140,0.0303,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
141,0.1738,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
142,0.746,High,Burnout Risk Index; Stock Option Level; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
143,0.074,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
144,0.7134,High,Manager Stability Score; Total Working Years; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
145,0.256,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
147,0.7949,High,Burnout Risk Index; Environment Satisfaction; Job Involvement,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
148,0.1104,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
150,0.0924,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
151,0.1125,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
152,0.1114,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
153,0.11,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
154,0.1047,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
155,0.4358,Medium,Manager Stability Score; Satisfaction Composite Score; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
158,0.0347,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
159,0.1675,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
160,0.1068,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
161,0.3426,Medium,Burnout Risk Index; Num Companies Worked; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
162,0.1276,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
163,0.9682,High,Burnout Risk Index; Stock Option Level; Job Involvement,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
164,0.3111,Medium,Stock Option Level; Monthly Income; Age,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
165,0.0519,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
167,0.9805,High,Burnout Risk Index; Monthly Income; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
169,0.0933,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
170,0.1819,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
171,0.0997,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
174,0.2692,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
175,0.5484,Medium,Burnout Risk Index; Job Involvement; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
176,0.1316,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
177,0.2424,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
178,0.1637,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
179,0.2174,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
182,0.1161,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
183,0.4785,Medium,Stock Option Level; Environment Satisfaction; Department Research & Development,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
184,0.3946,Medium,Burnout Risk Index; Stock Option Level; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
190,0.9011,High,Work Life Balance; Satisfaction Composite Score; Num Companies Worked,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
192,0.1243,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
193,0.1577,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
194,0.3024,Medium,Stock Option Level; Environment Satisfaction; Age,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
195,0.1147,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
197,0.1001,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
198,0.0733,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
199,0.2478,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
200,0.1165,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
201,0.7434,High,Manager Stability Score; Total Working Years; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
202,0.0637,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
204,0.0991,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
205,0.5726,Medium,Burnout Risk Index; Monthly Income; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
206,0.2657,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
207,0.3152,Medium,Stock Option Level; Department Research & Development; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
208,0.0732,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
211,0.0759,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
214,0.2665,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
215,0.2065,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
216,0.3186,Medium,Num Companies Worked; Monthly Income; Department Research & Development,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
217,0.1346,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
218,0.1334,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
221,0.0922,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
223,0.2213,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
224,0.292,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
226,0.189,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
227,0.1094,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
228,0.1437,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
230,0.1235,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
231,0.0499,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
233,0.135,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
235,0.9484,High,Work Life Balance; Manager Stability Score; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
238,0.3964,Medium,Burnout Risk Index; Monthly Income; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
239,0.0847,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
240,0.2851,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
241,0.1065,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
242,0.1218,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
243,0.8978,High,Manager Stability Score; Monthly Income; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
244,0.0597,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
245,0.1586,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
246,0.1228,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
247,0.0742,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
248,0.6297,Medium,Burnout Risk Index; Stock Option Level; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
249,0.0566,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
250,0.0328,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
252,0.0405,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
253,0.0546,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
254,0.14,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
256,0.1075,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
258,0.0668,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
259,0.0602,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
260,0.163,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
261,0.8574,High,Burnout Risk Index; Satisfaction Composite Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
262,0.0196,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
264,0.0844,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
267,0.1956,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
269,0.296,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
270,0.0157,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
271,0.0441,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
273,0.1567,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
274,0.3466,Medium,Manager Stability Score; Num Companies Worked; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
275,0.1036,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
277,0.2512,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
281,0.2031,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
282,0.7765,High,Burnout Risk Index; Satisfaction Composite Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
283,0.4149,Medium,Department Research & Development; Hourly Rate; Age,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
284,0.4514,Medium,Burnout Risk Index; Monthly Income; Relationship Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
286,0.3949,Medium,Stock Option Level; Monthly Income; Relationship Satisfaction,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
287,0.0472,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
288,0.1474,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
291,0.686,Medium,Job Involvement; Stock Option Level; Department Research & Development,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
292,0.0293,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
293,0.1763,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
296,0.2192,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
297,0.7838,High,Burnout Risk Index; Num Companies Worked; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
298,0.0829,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
299,0.9503,High,Burnout Risk Index; Travel Burden Score; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
300,0.0572,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
302,0.0735,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
303,0.0807,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
304,0.0824,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
305,0.2931,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
306,0.158,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
307,0.0866,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
308,0.0157,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
309,0.0523,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
311,0.2389,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
312,0.2052,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
314,0.0785,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
315,0.5601,Medium,Burnout Risk Index; Monthly Income; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
316,0.1593,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
319,0.0391,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
321,0.2696,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
323,0.0295,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
325,0.8849,High,Burnout Risk Index; Num Companies Worked; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
327,0.0719,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
328,0.7969,High,Work Life Balance; Satisfaction Composite Score; Num Companies Worked,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
329,0.1259,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
330,0.4194,Medium,Satisfaction Composite Score; Age; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
331,0.6544,Medium,Burnout Risk Index; Stock Option Level; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
332,0.0778,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
333,0.1187,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
334,0.1622,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
335,0.1455,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
336,0.0126,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
337,0.444,Medium,Num Companies Worked; Age; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
338,0.0694,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
339,0.1676,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
340,0.0353,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
341,0.0365,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
342,0.7375,High,Manager Stability Score; Num Companies Worked; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
343,0.0845,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
346,0.0894,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
347,0.2672,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
349,0.134,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
350,0.0317,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
351,0.3194,Medium,Burnout Risk Index; Hourly Rate; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
352,0.03,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
353,0.074,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
355,0.794,High,Travel Burden Score; Work Life Balance; Stock Option Level,Transition employee to hybrid/remote work arrangement; reduce business travel frequency by 25%.
359,0.6764,Medium,Burnout Risk Index; Stock Option Level; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
361,0.0525,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
362,0.209,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
363,0.2432,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
364,0.8233,High,Manager Stability Score; Stock Option Level; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
366,0.2616,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
367,0.0907,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
369,0.0212,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
372,0.1114,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
373,0.0444,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
374,0.1103,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
376,0.6402,Medium,Burnout Risk Index; Environment Satisfaction; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
377,0.0416,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
378,0.0817,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
379,0.6205,Medium,Work Life Balance; Manager Stability Score; Stock Option Level,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
380,0.0713,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
381,0.1091,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
382,0.2729,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
